Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-10_05:03:29.504738,85.668405,46.225555,86.6577172279,46.0180854797
2026-04-10_05:03:30.005360,85.671712,46.22566,86.6685318947,46.0181846619
2026-04-10_05:03:33.510441,85.685175,46.225575,86.680226326,46.0181846619
2026-04-10_05:03:36.515002,85.697022,46.225426,86.6919708252,46.0180854797
2026-04-10_05:03:40.020091,85.713647,46.225921,86.7029714584,46.0181121826
2026-04-10_05:03:45.528281,85.73456,46.226192,86.7253947258,46.0180854797
2026-04-10_05:03:46.029048,85.737021,46.225864,86.7370462418,46.0181846619
2026-04-10_05:03:55.042378,85.775259,46.225478,86.7646622658,46.0180854797
2026-04-10_05:03:55.543115,85.776534,46.225379,86.7771935463,46.0180854797
2026-04-10_05:04:05.557908,85.818863,46.225706,86.8089580536,46.0180854797
2026-04-10_05:04:06.058647,85.821445,46.22536,86.8206095695,46.0181846619
2026-04-10_05:04:17.075006,85.867087,46.2259,86.8565440178,46.0181846619
2026-04-10_05:04:17.575713,85.869529,46.225766,86.8682813644,46.0180854797
2026-04-10_05:04:29.092767,85.917974,46.225128,86.9075489044,46.0180854797
2026-04-10_05:04:29.593501,85.919734,46.225223,86.9192504883,46.0180854797
2026-04-10_05:04:42.612696,85.97422,46.226411,86.9634890556,46.0181846619
2026-04-10_05:04:43.113525,85.975761,46.226482,86.9760632515,46.0180854797
2026-04-10_05:04:57.134258,86.03525,46.225661,87.0245361328,46.0180854797
2026-04-10_05:04:57.634941,86.037437,46.225847,87.0353507996,46.0181846619
2026-04-10_05:05:14.159383,86.105244,46.226192,87.095553875,46.0180854797
2026-04-10_05:05:14.660247,86.107667,46.226014,87.1072483063,46.0180854797
2026-04-10_05:05:30.683950,86.175324,46.226287,87.1640253067,46.0181846619
2026-04-10_05:05:31.184661,86.176971,46.22649,87.1759200096,46.0181121826
2026-04-10_05:05:48.209873,86.248142,46.226558,87.2377467155,46.0181121826
2026-04-10_05:05:48.710597,86.250749,46.226666,87.2494482994,46.0181121826
2026-04-10_05:06:09.240976,86.336016,46.22709,87.3253369331,46.0180854797
2026-04-10_05:06:09.741837,86.337878,46.227324,87.337038517,46.0180854797
2026-04-10_05:06:28.769850,86.416951,46.227256,87.4073410034,46.0182151794
2026-04-10_05:06:29.270656,86.419696,46.227511,87.4181985855,46.0182151794
2026-04-10_05:06:48.799468,86.501995,46.227245,87.4907469749,46.0181846619
2026-04-10_05:06:49.300296,86.50399,46.227305,87.5016117096,46.0181846619
2026-04-10_05:07:09.830643,86.589615,46.22791,87.5800251961,46.0188293457
2026-04-10_05:07:10.331417,86.591549,46.228142,87.5906395912,46.0186767578
2026-04-10_05:10:25.620517,217.089408,18.960193,217.413268089,19.0615062714
2026-04-10_05:10:51.158330,217.113558,18.961021,217.43956089,19.061460495
2026-04-10_05:10:51.659120,217.115392,18.961045,217.450175285,19.0616550446
2026-04-10_05:11:19.199888,217.231561,18.961293,217.556233406,19.061756134
2026-04-10_05:11:19.700633,217.233839,18.961145,217.567090988,19.061756134
2026-04-10_05:11:47.742095,217.350641,18.960257,217.67572403,19.061756134
2026-04-10_05:11:48.242894,217.35256,18.960101,217.686581612,19.061756134
2026-04-10_05:12:17.285850,217.473841,18.960651,217.79856205,19.061756134
2026-04-10_05:12:17.786648,217.475893,18.960746,217.809505463,19.0617160797
2026-04-10_05:13:57.934951,210.731355,18.967823,211.065516472,19.053030014
2026-04-10_05:13:58.435678,210.731326,18.967791,211.076216698,19.0531730652
2026-04-10_05:14:30.483110,210.866467,18.967866,211.201486588,19.0530452728
2026-04-10_05:14:30.983887,210.868502,18.967974,211.213302612,19.0530586243
2026-04-10_05:15:04.032727,211.006675,18.967879,211.341977119,19.0530586243
2026-04-10_05:15:04.533528,211.008715,18.967883,211.352806091,19.0530033112
2026-04-10_05:15:38.583975,211.151219,18.967008,211.486530304,19.0530586243
2026-04-10_05:15:39.084760,211.153287,18.96749,211.497359276,19.0530033112
2026-04-10_05:16:14.136614,211.300387,18.967551,211.635274887,19.0530586243
2026-04-10_05:16:14.637338,211.302669,18.967686,211.646962166,19.0530586243
2026-04-10_05:16:51.191453,211.453221,18.967799,211.789841652,19.0530586243
2026-04-10_05:16:51.692179,211.455556,18.96784,211.800713539,19.0530586243
2026-04-10_05:17:28.747040,211.612074,18.966599,211.947026253,19.0530109406
2026-04-10_05:17:29.247804,211.614089,18.966785,211.957798004,19.0530586243
2026-04-10_05:18:07.304079,211.772717,18.96681,212.108302116,19.0530109406
2026-04-10_05:18:07.804892,211.774849,18.966537,212.119159698,19.0530109406
2026-04-10_05:18:46.862661,211.938191,18.966263,212.272911072,19.0530109406
2026-04-10_05:18:47.363457,211.940546,18.966407,212.284598351,19.0530109406
2026-04-10_05:19:27.422779,212.108122,18.966235,212.442541122,19.0530109406
2026-04-10_05:19:27.923518,212.110118,18.966259,212.453398705,19.0530109406
2026-04-10_05:20:08.984241,212.2812,18.96631,212.616248131,19.0530586243
2026-04-10_05:20:09.485027,212.2832,18.966124,212.627105713,19.0530586243
2026-04-10_05:20:51.547304,212.458798,18.966073,212.794218063,19.0530586243
2026-04-10_05:20:52.048060,212.460968,18.965939,212.805089951,19.0530586243
2026-04-10_05:21:35.111792,212.640979,18.96746,212.976379395,19.0530586243
2026-04-10_05:21:35.612608,212.64398,18.965613,212.987236977,19.0530586243
2026-04-10_05:22:19.677776,212.828377,18.965877,213.162703514,19.0530586243
2026-04-10_05:22:20.178584,212.830147,18.96568,213.176193237,19.0528774261
2026-04-10_05:23:05.245270,211.043928,20.278494,211.36885643,20.3627490997
2026-04-10_05:23:05.746079,211.043797,20.27846,211.368169785,20.3632640839
2026-04-10_05:23:51.814342,211.042933,20.279003,211.36888504,20.3629016876
2026-04-10_05:23:52.315099,211.043373,20.279154,211.368584633,20.3629894257
2026-04-10_05:24:39.384878,211.043881,20.279052,211.368441582,20.3630313873
2026-04-10_05:24:39.885584,211.043117,20.279286,211.367912292,20.3631649017
2026-04-10_05:25:27.956878,211.043544,20.279784,211.368513107,20.3630218506
2026-04-10_05:25:28.457551,211.043234,20.279883,211.368398666,20.3630561829
2026-04-10_05:26:17.530268,211.043543,20.279682,211.368741989,20.3628540039
2026-04-10_05:26:18.031068,211.043307,20.279527,211.368556023,20.3629589081
2026-04-10_05:27:08.606006,211.04363,20.279548,211.368198395,20.3630580902
