ID X_IMAGE Y_IMAGE FLUX_ISO FLUX_MAX BACKGROUND A_IMAGE B_IMAGE THETA_IMAGE FLAGS
0 630.997906 1870.028195 261.347809 246.069763 11.294167 0.585955 0.578613 89.604678 0
1 520.012224 431.012307 266.434723 245.887131 11.294167 0.583564 0.578682 -1.519928 0
2 2517.005052 1747.999366 260.222656 245.644531 11.294167 0.585297 0.577742 0.020886 0
3 1983.534791 1839.824754 3679.650635 245.569412 11.294167 1.765405 1.507826 -37.502113 0
4 2528.012043 1633.995345 246.804703 245.560944 11.294167 0.585268 0.572682 0.220321 0
5 1974.943750 193.689789 3342.037598 245.554016 11.294167 1.818528 1.352196 -2.533939 0
6 2488.008160 1637.995126 258.578979 245.515793 11.294167 0.580976 0.579326 1.190557 0
7 2414.865134 634.014771 9910.815430 245.462189 11.294167 2.726319 2.393806 24.273731 0
8 2419.452210 1395.163719 3352.483887 245.456589 11.294167 1.655579 1.504776 -2.617331 0
9 2454.987615 1182.999993 248.183029 245.436615 11.294167 0.580396 0.577348 -0.001583 0
10 1822.037798 93.019078 236.093994 245.418793 11.294167 0.580767 0.575356 -6.665912 0
11 2211.026392 1663.005768 245.944977 245.389008 11.294167 0.587420 0.568390 -0.396491 0
12 1904.040035 1815.956580 241.246506 245.249435 11.294167 0.582478 0.579012 60.143340 0
13 506.027958 158.001354 231.000000 244.400055 11.294167 0.578007 0.572048 -89.683341 0
14 1210.242959 192.617971 4750.748047 244.097290 11.294167 1.875283 1.480946 -25.427975 0
15 1216.522881 1848.600794 7634.827637 243.802383 11.294167 2.257775 1.966839 81.395125 0
16 2027.016278 851.018079 230.895676 243.778854 11.294167 0.588798 0.568313 -0.711519 0
17 391.001434 962.017377 236.787262 243.757431 11.294167 0.575969 0.574685 -89.032957 0
18 767.429713 635.938715 7644.975098 243.722733 11.294167 2.285244 1.798914 -66.128396 0
19 1183.998197 637.010810 220.833481 243.566711 11.294167 0.581087 0.571295 0.098890 0
20 751.031211 1674.986067 227.795059 243.558975 11.294167 0.594596 0.554665 0.542953 0
21 800.017970 349.007328 227.785965 243.557175 11.294167 0.574310 0.572294 -3.270104 0
22 769.780885 1408.654384 12109.011719 243.528000 11.294167 2.787708 2.142077 -83.691824 0
23 1618.997845 1486.991040 235.456940 243.491394 11.294167 0.577228 0.573113 -0.233424 0
24 625.003177 762.992826 234.923340 243.384583 11.294167 0.577050 0.574229 0.401770 0
25 1445.986074 135.004257 229.405670 229.681198 11.294167 0.578816 0.578037 3.779406 0
26 119.989530 1026.992780 207.940826 224.788177 11.294167 0.575059 0.572910 -88.243626 0
27 1518.012967 211.986665 212.957764 214.391739 11.294167 0.577933 0.574426 87.544659 0
28 1610.580060 1033.741650 29306.966797 205.600540 11.294167 5.264465 4.690452 -49.255431 0
