ID X_IMAGE Y_IMAGE FLUX_ISO FLUX_MAX BACKGROUND A_IMAGE B_IMAGE THETA_IMAGE FLAGS
0 599.814978 22.000000 227.000000 152.000000 11.000000 1.000000 1.000000 0.000000 0
1 821.868421 36.127193 228.000000 183.000000 11.000000 1.000000 1.000000 0.000000 0
2 1822.042683 93.064024 328.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
3 1445.923077 135.012308 325.000000 239.000000 11.000000 1.000000 1.000000 0.000000 0
4 506.087227 158.052960 321.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
5 1210.221290 193.114839 6557.000000 255.000000 11.000000 2.955049 2.995437 0.000000 0
6 1975.024603 194.158804 4918.000000 255.000000 11.000000 3.183804 2.472843 0.000000 0
7 1518.007194 211.960432 278.000000 224.000000 11.000000 1.000000 1.000000 0.000000 0
8 800.009317 349.040373 322.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
9 520.042254 431.045070 355.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
10 817.022305 526.089219 269.000000 205.000000 11.000000 1.000000 1.000000 0.000000 0
11 1300.009302 592.186047 215.000000 144.000000 11.000000 1.000000 1.000000 0.000000 0
12 2414.867090 634.569514 12911.000000 255.000000 11.000000 4.054090 3.988861 0.000000 0
13 767.548410 636.396074 9781.000000 255.000000 11.000000 3.068577 3.556925 0.000000 0
14 1183.969419 637.027523 327.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
15 2590.796610 645.067797 177.000000 116.000000 11.000000 1.000000 1.000000 0.000000 0
16 625.018182 763.018182 330.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
17 796.825043 775.898799 583.000000 44.000000 11.000000 1.311110 1.311110 0.000000 0
18 2027.317734 851.071429 406.000000 255.000000 11.000000 1.067940 1.000000 0.000000 0
19 1643.944444 924.892857 252.000000 175.000000 11.000000 1.000000 1.000000 0.000000 0
20 390.966258 962.009202 326.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
21 1610.358419 1034.007737 41750.000000 217.000000 11.000000 7.658081 7.726979 0.000000 0
22 119.972789 1027.034014 294.000000 236.000000 11.000000 1.000000 1.000000 0.000000 0
23 2454.966867 1183.012048 332.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
24 2419.722859 1396.099580 5232.000000 255.000000 11.000000 2.973978 3.081476 0.000000 0
25 769.777718 1408.918060 14828.000000 255.000000 11.000000 3.533019 4.065422 0.000000 0
26 1050.005435 1476.548913 184.000000 39.000000 11.000000 1.000000 1.000000 0.000000 0
27 1618.960000 1486.966154 325.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
28 809.004000 1565.012000 250.000000 188.000000 11.000000 1.000000 1.000000 0.000000 0
29 2527.993994 1633.954955 333.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
30 2487.976331 1637.985207 338.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
31 2211.027356 1663.030395 329.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
32 750.973941 1674.973941 307.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
33 150.000000 1723.909434 265.000000 204.000000 11.000000 1.000000 1.000000 0.000000 0
34 2516.997230 1748.013850 361.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
35 1904.003040 1815.908815 329.000000 255.000000 11.000000 1.000000 1.000000 0.000000 0
36 1983.814458 1840.752840 5810.000000 255.000000 11.000000 3.386762 3.015789 0.000000 0
37 1216.570368 1849.178642 10104.000000 255.000000 11.000000 3.089859 3.859358 0.000000 0
38 631.176322 1870.080605 397.000000 255.000000 11.000000 1.067940 1.000000 0.000000 0
